dept,nom,Gazole,SP98,SP95_E10,SP95,lat,lon
01,SARL GOYARD | Total,1.482,1.652,1.5419999999999998,,46.33559,5.129492600000049
01,INTERMARCHE MEXIMIEUX | Intermarché,1.385,1.546,1.41,,45.91436820000001,5.1916005000000505
01,A46 AIRE DE MIONNAY EST- SENS SUD NORD | Agip,1.638,1.808,1.6880000000000002,,45.8891459,4.894192900000006
01,ESSO LES ECHETS | Esso Express,1.409,1.568,1.476,,45.8716441,4.912524899999994
01,SUPER U MONTLUEL | Système U,1.376,1.5419999999999998,1.4380000000000002,,45.8525302,5.058703899999955
01,CARREFOUR MARKET | Carrefour Market,1.394,,1.455,1.494,46.335044,5.126316999999972
01,INTERMARCHE NEUVILLE SUR AIN | Intermarché,1.375,1.535,1.425,1.465,46.076293,5.376508000000058
01,Carrefour Market | Carrefour Market,1.395,1.59,,1.465,46.2502939,5.645623999999998
01,INTERMARCHE MONTREVEL EN BRESSE | Intermarché,1.394,1.544,,1.494,46.3611221,5.124384599999985
01,INTERMARCHE LA BOISSE-MONTLUEL | Intermarché,1.369,1.528,1.429,1.484,45.8458245,5.048084700000004
01,SUPER U | Système U,1.39,1.54,1.42,,46.2550421,4.8891894999999295
01,SARL GARAGE MEUNIER | Avia,1.495,1.626,,1.599,46.1420667,5.633509199999932
01,GARAGE MURET | Indépendant sans enseigne,1.523,,1.629,1.6669999999999998,46.128139,5.539345099999991
01,AUCHAN SUPERMARCHE | Auchan,1.404,1.5119999999999998,1.4369999999999998,,45.90419970000001,4.819765800000027
01,Market | Carrefour Market,1.369,1.528,,1.484,45.9004166,5.189923300000032
01,Carrefour Market | Carrefour Market,1.389,1.5490000000000002,,1.505,45.828906,4.972732800000017
01,AUCHAN SUPERMARCHE | Auchan,1.4269999999999998,1.537,1.477,,46.0964871,4.773021999999969
01,Carrefour Market | Carrefour Market,1.389,1.495,,1.465,46.1725839,5.576617199999987
01,RELAIS RESIDENCE | Total Access,1.383,1.494,1.4240000000000002,,46.15800520000001,5.603475300000013
01,ETS CRAUSAZ | Total,1.58,,,1.66,46.1860933,5.527287200000046
01,DB OYONNAX | Intermarché,1.395,,,1.465,46.26275620000001,5.6475273999999445
01,INTERMARCHE PERON | Intermarché,1.419,1.529,1.469,,46.184449,5.928942600000028
01,Market | Carrefour Market,1.419,1.569,,1.519,46.180545,5.2132139999999945
01,RELAIS DU CHENE | Total Access,1.376,,1.435,,46.05726920000001,5.332650699999931
01,INTERMARCHE PORT | Intermarché,1.389,1.495,1.429,1.465,46.166281,5.569262999999979
01,Carrefour Market | Carrefour Market,1.389,1.5490000000000002,,1.499,45.92739,4.957704000000035
01,BI1 Saint-Bénigne | Atac,1.457,1.574,1.59,1.556,46.43715260000001,4.95350899999994
01,RELAIS DES VAVRES | Total,1.51,1.64,1.53,,46.20094870000001,5.19923330000006
01,INTERMARCHE | Intermarché,1.375,1.535,1.445,,46.2718277,5.285603199999969
01,Carrefour Market | Carrefour Market,1.489,,,1.579,46.2415744,6.026802399999951
01,GARAGE CEYZERIAT | Elan,1.599,,,1.699,46.0348998,5.389478000000054
01,SARL MATHY GARAGE DE L EUROPE | Avia,1.52,1.68,,1.64,45.9426315,5.432740700000068
01,TOTAL SAINT VULBAS | Total,1.466,1.642,1.5319999999999998,,45.8388839,5.277467600000024
01,RELAIS DES CRETETS | Total,1.462,1.632,1.5219999999999998,,46.2507064,5.641548300000068
01,AGIP PERONNAS | Agip,1.4980000000000002,1.648,1.538,,46.1905192,5.211076999999931
01,GARAGE GUIGUE SA | Total,1.466,1.652,1.5419999999999998,,46.2503998,5.11196289999998
01,SUPER U | Système U,1.38,1.51,1.43,1.47,46.03937910000001,5.3398985999999695
01,INTERMARCHE REPLONGES | Intermarché,1.4280000000000002,,1.482,1.538,46.2993455,4.880311500000062
01,RELAIS SAINT ANDRE DE CORCY | Total,1.472,1.635,1.525,,45.93868399999999,4.96728440000004
01,Carrefour Market | Carrefour Market,1.375,1.535,,1.475,46.2020425,5.1994518999999855
01,U EXPRESS | Système U,1.399,1.5490000000000002,,1.499,46.17957,4.819654200000058
01,SARL CIRA DISTRIBUTION | Total,1.489,1.642,1.5319999999999998,,46.249084,5.221010999999977
01,INTERMARCHE ST GENIS POUILLY | Intermarché,1.419,1.529,1.469,,46.2639735,6.0297319000000025
01,SARL GARAGE ROUSSET | Elan,1.59,,,1.69,45.82107449999999,5.198923799999988
01,INTERMARCHE CONTACT | Intermarché Contact,1.456,1.5730000000000002,1.568,1.555,46.4584044,5.072457200000031
01,CARREFOUR SEGNY | Carrefour,1.394,1.518,,1.508,46.30052050000001,6.069646799999987
01,INTERMARCHE ST ANDRE DE CORCY | Intermarché,1.399,1.5590000000000002,1.469,,45.9327801,4.959784300000023
01,STATION ELAN GARAGE BOLLEY | Elan,1.48,,,1.58,45.9269016,5.404462899999999
01,Carrefour Market | Carrefour Market,1.369,1.491,,1.459,45.93425149999999,4.7908305999999365
01,AVIA | Avia,1.519,1.659,,1.619,46.2171967,5.212874100000022
01,STE DU VEHICULE INDUSTRIEL SAS | Total,1.489,1.642,1.5319999999999998,,46.2310652,5.258515399999965
01,INTERMARCHE | Intermarché,1.374,,1.444,1.474,46.2128349,4.994093499999963
01,INTERMARCHE SAS INDARRA | Intermarché Contact,1.389,1.5590000000000002,1.469,,46.1498497,5.150220300000001
01,MIGROS | MIGROS,1.42,1.55,1.469,,46.22559920000001,5.989506500000062
01,AVIA | Avia,1.499,1.639,,1.599,46.1380399,5.3017240000000365
01,super u | Système U,1.389,1.5490000000000002,1.469,1.499,46.0072923,5.037028700000064
01,GARAGE BERRODIER | Total,1.5,,,1.57,46.235114,5.2268386000000655
01,Carrefour Market | Carrefour Market,1.399,1.5590000000000002,,1.529,46.2172061,4.991935699999999
02,INTERMARCHE ANIZY-LE-CHATEAU | Intermarché,1.439,1.619,1.5590000000000002,1.579,49.5047094,3.44360800000004
02,S.A.S. DISBEAU | Leclerc,1.425,1.615,1.525,1.61,49.6607815,3.345721899999944
02,BELOT | Total,1.69,,,1.79,49.9605127,3.231630799999948
02,INTERMARCHE BOHAIN-EN-VERMANDOIS | Intermarché,1.42,,1.485,1.525,49.9856156,3.461669400000005
02,GARAGE PETETIN | Total,1.529,1.702,1.592,,49.53171370000001,3.6529901999999765
02,SAS LES ILETTES | Système U,1.375,1.599,,1.519,48.973073,3.282122999999956
02,CARREFOUR CHATEAU-THIERRY | Carrefour,1.365,1.539,1.467,1.519,49.0410475,3.386462100000017
02,INTERMARCHE CHATEAU-THIERRY | Intermarché,1.352,1.492,,1.469,49.035131,3.3928829999999834
02,INTERMARCHE CHAUNY | Intermarché,1.4240000000000002,,1.524,1.61,49.625938,3.2196738999999748
02,RELAIS CRECY AU MONT | Total Access,1.408,1.614,1.494,,49.4919641,3.3349938999999713
02,AUTOPIECE | Roady,1.409,1.619,1.519,1.5590000000000002,49.3991631,3.3570406999999705
02,RELAIS URVILLERS | Total,1.594,1.784,1.6740000000000002,,49.785470200000006,3.3342536999999766
02,Station de l'Ourcq | Avia,1.499,1.699,,1.659,49.1974063,3.5150613000000703
02,Carrefour Market | Carrefour Market,1.4380000000000002,1.629,,1.612,49.585142,3.2403789999999617
02,INTERMARCHE BELLEU | Intermarché,1.392,1.5490000000000002,1.469,1.46,49.37085620000001,3.330897100000016
02,Carrefour Contact | Carrefour Contact,1.499,1.675,,1.662,49.51959309999999,3.148786100000052
02,Carrefour Market | Carrefour Market,1.449,1.619,,1.589,49.3390537,3.5264016999999512
02,LAONDIS | Leclerc,1.385,1.64,1.528,,49.58998920000001,3.653631099999984
02,AVIA | Avia,1.629,1.779,1.729,,49.0434747,3.3953778999999717
02,E.LECLERC - CASTELDIS | Leclerc,1.352,,1.4469999999999998,1.499,49.0381709,3.391456599999969
02,NETTO | NETTO,1.399,1.579,,1.539,49.064714,3.3924260000000004
02,LE RELAIS DE PARIS | Total,1.517,1.692,1.582,,49.6506234,3.281162799999948
02,TL DISTRI | Carrefour Contact,1.4069999999999998,1.565,1.536,,49.6916377,3.623170800000025
02,GULF DIZY LE GROS | GULF,1.4880000000000002,,1.629,,49.62448010000001,4.024361399999975
02,SAS SOFERDIS | Système U,1.395,1.599,,1.519,49.203758,3.5159019999999828
02,sarl le clair | Total,1.419,1.622,1.5019999999999998,,49.8422881,3.905824100000018
02,avia tardenois nord | Avia,1.629,1.7990000000000002,1.719,,49.1279042,3.5500452999999648
02,INTERMARCHE GAUCHY | Intermarché,1.392,,1.499,1.5419999999999998,49.82483670000001,3.2801600999999887
